,steam_pressure,drift
0,68.65161133,0
1,68.69273376,0
2,68.65660095,0
3,68.64333344,0
4,68.68430328,0
5,68.664505,0
6,68.63980103,0
7,68.66902924,0
8,68.62256622,0
9,68.66259003,0
10,68.65242004,0
11,68.69697571,0
12,68.64726257,0
13,68.65424347,0
14,69.3795840447,1
15,69.7283286308,1
16,70.00760879159998,1
17,70.41930332349997,1
18,70.76997101159998,1
19,68.64949799,0
20,68.64489746,0
21,68.64556122,0
22,68.68688202,0
23,68.73840332,0
24,68.65106201,0
25,68.66747284,0
26,68.66179657,0
27,68.68261719,0
28,68.65086365,0
29,68.67370605,0
30,68.6973114,0
31,68.647995,0
32,68.69583893,0
33,68.65086365,0
34,68.66707611,0
35,68.6548996,0
36,68.671875,0
37,68.65660095,0
38,68.64466095,0
39,68.68228912,0
40,68.67090607,0
41,68.67338562,0
42,68.66975403,0
43,68.70056915,0
44,68.66464996,0
45,68.66326904,0
46,68.71619415,0
47,68.67108917,0
48,68.7035141,0
49,68.67236328,0
50,68.69963837,0
51,68.74330139,0
52,68.67191315,0
53,68.67823029,0
54,68.66776276,0
55,68.66688538,0
56,68.69577026,0
57,68.66918945,0
58,68.6448822,0
59,68.63835144,0
60,68.6678009,0
61,68.72815704,0
62,68.66635132,0
63,68.66904449,0
64,68.69155121,0
65,68.67312622,0
66,68.74539948,0
67,68.66851044,0
68,68.76480103,0
69,68.67097473,0
70,68.67481232,0
71,68.66937256,0
72,68.74990082,0
73,68.67185211,0
74,68.65574646,0
75,68.75145721,0
76,68.66598511,0
77,68.68487549,0
78,68.67023468,0
79,69.34157959299999,1
80,69.7545570022,1
81,70.04802841319999,1
82,70.33593291899999,1
83,70.76624618139996,1
84,68.66841125,0
85,68.73001862,0
86,68.64650726,0
87,68.65590668,0
88,68.67144775,0
89,68.64571381,0
90,68.66941833,0
91,68.65153503,0
92,68.67419434,0
93,68.69799042,0
94,68.64467621,0
95,68.67210388,0
96,68.64813995,0
97,68.64853668,0
98,68.63322449,0
99,68.68310547,0
100,68.64453125,0
101,68.6598587,0
102,68.6403656,0
103,68.67255402,0
104,68.66681671,0
105,68.67824554,0
106,68.63198853,0
107,68.67740631,0
108,68.66417694,0
109,68.71479034,0
110,68.64546204,0
111,68.68797302,0
112,68.65488434,0
113,68.72396088,0
114,68.66342163,0
115,68.69460297,0
116,68.64924622,0
117,68.66518402,0
118,68.71447754,0
119,68.61766052,0
120,68.69216919,0
121,68.65529633,0
122,68.69296265,0
123,68.63938904,0
124,68.61467743,0
125,68.70909882,0
126,68.65733337,0
127,68.73661041,0
128,68.6688385,0
129,68.66925049,0
130,68.66477203,0
131,68.68549347,0
132,68.71121216,0
133,68.65065002,0
134,68.71899414,0
135,68.72433472,0
136,68.68247223,0
137,68.66713715,0
138,68.75511169,0
139,68.62352753,0
140,68.67047119,0
141,68.65393829,0
142,68.73558807,0
143,69.3836911794,1
144,69.7200504735,1
145,70.03162399799999,1
146,70.45519771649997,1
147,70.73069533999998,1
148,68.6822052,0
149,68.66789246,0
150,68.67663574,0
151,68.64968872,0
152,68.73710632,0
153,68.68125153,0
154,68.67190552,0
155,68.66706085,0
156,68.66712952,0
157,68.70291901,0
158,68.68413544,0
159,68.68865967,0
160,68.72356415,0
161,68.67053223,0
162,68.64125061,0
163,68.66665649,0
164,68.70308685,0
165,68.68212128,0
166,68.62509918,0
167,68.66849518,0
168,68.73989105,0
169,68.70717621,0
170,68.68617249,0
171,68.66976929,0
172,68.65653992,0
173,68.73804474,0
174,68.72956848,0
175,68.67248535,0
176,68.72273254,0
177,68.7388916,0
178,68.66990662,0
179,68.70020294,0
180,68.68669128,0
181,68.70465088,0
182,68.73031616,0
183,68.67424011,0
184,68.65418243,0
185,68.66654968,0
186,68.72481537,0
187,68.66991425,0
188,68.640625,0
189,68.63910675,0
190,68.71586609,0
191,68.65168762,0
192,68.66242981,0
193,68.64788818,0
194,68.69111633,0
195,68.66894531,0
196,68.63522339,0
197,68.70396423,0
198,68.6476059,0
199,68.64958954,0
200,68.66240692,0
201,69.4306804699,1
202,69.6935743,1
203,70.04309463239998,1
204,70.35610885499999,1
205,70.71193763919997,1
206,68.66993713,0
207,68.62921906,0
208,68.64162445,0
209,68.6427536,0
210,68.71640015,0
211,68.60771942,0
212,68.64998627,0
213,68.66749573,0
214,68.66763306,0
215,68.65496063,0
216,68.67813873,0
217,68.64380646,0
218,68.65037537,0
219,68.61904144,0
220,68.66892242,0
221,68.66811371,0
222,68.62411499,0
223,68.66400146,0
224,68.64584351,0
225,68.62625122,0
226,68.65717316,0
227,68.67177582,0
228,68.62232971,0
229,68.69971466,0
230,68.66734314,0
231,68.67428589,0
232,68.65668488,0
233,68.66596222,0
234,68.70191193,0
235,68.66867065,0
236,68.61019897,0
237,68.6645813,0
238,68.65345001,0
239,68.66123962,0
240,68.65662384,0
241,68.64419556,0
242,68.67980194,0
243,68.63677979,0
244,68.64241791,0
245,68.62502289,0
246,68.63294983,0
247,68.66762543,0
248,68.64910126,0
249,68.61536407,0
250,68.70053864,0
251,68.64189911,0
252,68.66809082,0
253,68.6446991,0
