,water_temperature,spike
0,141.843338,0.0
1,177.30836862499999,1.0
2,141.8466949,0.0
3,175.93092223999997,1.0
4,141.879776,0.0
5,142.0388947,0.0
6,173.514004802,1.0
7,173.514004802,1.0
8,142.2245941,0.0
9,142.2727203,0.0
10,142.4640045,0.0
11,142.5686188,0.0
12,142.6802673,0.0
13,178.1489945,1.0
14,142.5191956,0.0
15,178.006610875,1.0
16,142.4052887,0.0
17,142.2340851,0.0
18,142.0486145,0.0
19,141.9811554,0.0
20,142.0640259,0.0
21,170.57427984,1.0
22,177.6815415,1.0
23,142.1452332,0.0
24,142.2979431,0.0
25,142.3025665,0.0
26,142.2895813,0.0
27,142.1468811,0.0
28,142.1527405,0.0
29,142.095108,0.0
30,177.68007275,1.0
31,142.1440582,0.0
32,142.1172485,0.0
33,142.3099365,0.0
34,142.2684631,0.0
35,142.4009399,0.0
36,142.3162842,0.0
37,173.569572752,1.0
38,173.569572752,1.0
39,142.2701416,0.0
40,142.2114716,0.0
41,142.2515717,0.0
42,142.1692505,0.0
43,142.1268158,0.0
44,142.0793304,0.0
45,142.1647491,0.0
46,142.1755981,0.0
47,142.3119354,0.0
48,177.8816605,1.0
49,170.76639408,1.0
50,170.76639408,1.0
51,142.3053284,0.0
52,142.3159027,0.0
53,142.2544098,0.0
54,142.1875763,0.0
55,142.1443787,0.0
56,142.1984863,0.0
57,142.0958862,0.0
58,142.0932007,0.0
59,142.0192413,0.0
60,172.001197258,1.0
61,142.1497498,0.0
62,174.814500792,1.0
63,170.55073248,1.0
64,142.1256104,0.0
65,142.1783752,0.0
66,142.1239014,0.0
67,142.192337,0.0
68,142.1824493,0.0
69,142.1553345,0.0
70,142.1727753,0.0
71,142.139679,0.0
72,142.2032776,0.0
73,142.1483917,0.0
74,172.08795546800002,1.0
75,142.2214508,0.0
76,142.1492157,0.0
77,142.2340851,0.0
78,142.3459473,0.0
79,176.37681210399998,1.0
80,170.68723752,1.0
81,174.954418458,1.0
82,170.68723752,1.0
83,142.2393646,0.0
84,142.2424469,0.0
85,142.2275848,0.0
86,142.2180939,0.0
87,142.2065735,0.0
88,142.1796722,0.0
89,142.2027893,0.0
90,142.2059631,0.0
91,142.2638397,0.0
92,142.2134399,0.0
93,142.1304932,0.0
94,172.033766223,1.0
95,177.72083287499999,1.0
96,142.1766663,0.0
97,142.0768433,0.0
98,142.1421204,0.0
99,142.1143646,0.0
100,142.0310974,0.0
101,142.2092285,0.0
102,142.3073578,0.0
103,142.2926178,0.0
104,142.3119812,0.0
105,142.2852173,0.0
106,142.2853394,0.0
107,142.1634827,0.0
108,142.2023926,0.0
109,142.1267853,0.0
110,142.1697388,0.0
111,142.2243347,0.0
112,142.3488312,0.0
113,142.2578125,0.0
114,142.2680359,0.0
115,142.2298584,0.0
116,142.2075806,0.0
117,142.1791992,0.0
118,177.829856875,1.0
119,142.2638855,0.0
120,142.1868439,0.0
121,176.382772164,1.0
122,176.382772164,1.0
123,172.11544703099997,1.0
124,142.2441711,0.0
125,142.3351135,0.0
126,142.1246033,0.0
127,142.0505829,0.0
128,142.0936584,0.0
129,142.1788177,0.0
130,142.1510162,0.0
131,142.1703186,0.0
132,142.1259003,0.0
133,142.1770172,0.0
134,142.1779327,0.0
135,142.2518768,0.0
136,142.2035522,0.0
137,142.141983,0.0
138,142.1540833,0.0
139,142.2060547,0.0
140,142.2215576,0.0
141,142.2561493,0.0
142,142.2882538,0.0
143,142.204483,0.0
144,142.1083527,0.0
145,142.1461639,0.0
146,142.1813965,0.0
147,142.2110596,0.0
148,172.137178147,1.0
149,142.2621307,0.0
150,142.3363647,0.0
151,142.2705994,0.0
152,142.2966766,0.0
153,142.398819,0.0
154,173.61322667000002,1.0
155,142.3059235,0.0
156,142.1464386,0.0
157,142.0554352,0.0
158,142.0510254,0.0
159,142.0998993,0.0
160,174.693445176,1.0
161,142.0271912,0.0
162,170.4108582,1.0
163,142.0090485,0.0
164,176.088344084,1.0
165,142.0067291,0.0
166,171.73761751299998,1.0
167,171.73761751299998,1.0
168,171.73761751299998,1.0
169,170.31829835999997,1.0
170,141.9319153,0.0
171,142.0365753,0.0
172,142.1180725,0.0
173,142.1931305,0.0
174,142.1698761,0.0
175,142.2985687,0.0
176,142.2417603,0.0
177,142.2164917,0.0
178,177.699317875,1.0
179,172.012939703,1.0
180,142.1594543,0.0
181,142.2361603,0.0
182,142.263031,0.0
183,142.3957825,0.0
184,142.4223938,0.0
185,142.4756012,0.0
186,142.3672028,0.0
187,170.85401004,1.0
188,142.3783417,0.0
189,142.2723999,0.0
190,142.208725,0.0
191,142.0550079,0.0
192,141.9406281,0.0
193,141.9495544,0.0
194,142.0838013,0.0
195,142.1382141,0.0
196,172.175876972,1.0
197,142.2941132,0.0
198,142.2324219,0.0
199,142.2906494,0.0
200,142.2317505,0.0
201,142.1457367,0.0
202,142.1504364,0.0
203,142.1478882,0.0
204,142.1963196,0.0
205,142.2977448,0.0
206,142.1981812,0.0
207,172.263447576,1.0
208,142.3664856,0.0
209,142.4283142,0.0
210,142.3851624,0.0
211,142.3170166,0.0
212,142.282135,0.0
213,142.3119659,0.0
214,142.1623535,0.0
215,142.1370544,0.0
216,177.56528849999998,1.0
217,177.56528849999998,1.0
218,142.0522308,0.0
219,141.9782104,0.0
220,142.1638031,0.0
221,142.3109436,0.0
222,142.2729187,0.0
223,176.33673765999998,1.0
224,173.49259673,1.0
225,176.33673765999998,1.0
226,142.2070465,0.0
227,142.2423553,0.0
228,142.3010864,0.0
229,142.3340607,0.0
230,142.217392,0.0
231,142.2452393,0.0
232,142.1654816,0.0
233,172.115484057,1.0
234,142.2442017,0.0
235,142.2329712,0.0
236,142.3205719,0.0
237,142.4495544,0.0
238,142.3766937,0.0
239,142.2721558,0.0
240,142.3333435,0.0
241,142.1765747,0.0
242,142.066452,0.0
243,141.9921875,0.0
