,water_flow,spike
0,54.80957031,0
1,51.70772552,0
2,53.88253403,0
3,53.71687698,0
4,53.42721176,0
5,53.6582756,0
6,53.53042603,0
7,53.84659958,0
8,62.66084756114107,1
9,53.9650383,0
10,54.21185684,0
11,54.16023254,0
12,54.22562408,0
13,52.05640793,0
14,53.94127274,0
15,63.04612026241102,1
16,54.04951477,0
17,54.13092422,0
18,53.87310028,0
19,54.13371277,0
20,53.82260895,0
21,52.05790329,0
22,53.47324753,0
23,54.03434753,0
24,54.17205048,0
25,55.12365723,0
26,54.55624771,0
27,52.66419983,0
28,53.95505142,0
29,53.95077515,0
30,53.58722687,0
31,54.1957016,0
32,53.88573837,0
33,54.27696991,0
34,53.41340637,0
35,63.019005577270654,1
36,54.08256531,0
37,53.99609375,0
38,53.62733078,0
39,52.75331879,0
40,53.87410355,0
41,54.52338791,0
42,54.67776108,0
43,55.22512054,0
44,54.80099869,0
45,54.92641068,0
46,52.25879288,0
47,54.29938507,0
48,52.41594315,0
49,54.22079849,0
50,54.57232285,0
51,54.13537979,0
52,62.99733195073571,1
53,54.23242569,0
54,54.66355133,0
55,54.22536087,0
56,54.27651978,0
57,52.06979752,0
58,62.98892336723703,1
59,53.54631424,0
60,62.9876646496811,1
61,54.34000397,0
62,54.75628662,0
63,63.28472302450697,1
64,54.4705162,0
65,52.08785629,0
66,54.15880585,0
67,54.35599518,0
68,53.79687881,0
69,54.54478073,0
70,54.04665375,0
71,54.91491318,0
72,67.38755067594153,1
73,55.14251709,0
74,53.08564758,0
75,54.27090454,0
76,54.09265137,0
77,52.29122543,0
78,54.19586182,0
79,54.39432907,0
80,54.24052811,0
81,52.58759689,0
82,54.07986069,0
83,54.43255615,0
84,54.09799576,0
85,52.46115112,0
86,54.1514473,0
87,54.42838287,0
88,54.31097412,0
89,73.24637303214983,1
90,52.51603317,0
91,54.16041565,0
92,54.02907181,0
93,53.70993423,0
94,52.44012833,0
95,54.22784424,0
96,54.59347916,0
97,51.99644852,0
98,54.30072784,0
99,52.48078537,0
100,54.54014206,0
101,54.39163971,0
102,54.44566345,0
103,54.21787262,0
104,54.33254623,0
105,53.53941345,0
106,73.2600096439866,1
107,53.48583984,0
108,73.25948327997618,1
109,73.26089723763918,1
110,54.52378845,0
111,54.46935272,0
112,54.80537796,0
113,54.56908798,0
114,54.71263123,0
115,52.54272461,0
116,54.24175262,0
117,52.42485046,0
118,54.41744614,0
119,73.26369089614889,1
120,53.97605896,0
121,54.62429428,0
122,54.28399658,0
123,54.20133209,0
124,73.26369724504754,1
125,53.75727844,0
126,54.90832138,0
127,54.58587265,0
128,54.89719391,0
