,steam_pressure,spike
0,68.65161133,0.0
1,68.69273376,0.0
2,70.029732969,1.0
3,68.65660095,0.0
4,68.64333344,0.0
5,68.68430328,0.0
6,68.664505,0.0
7,68.63980103,0.0
8,68.66902924,0.0
9,68.62256622,0.0
10,70.0358418306,1.0
11,69.3492159303,1.0
12,68.66259003,0.0
13,68.65242004,0.0
14,68.69697571,0.0
15,68.64726257,0.0
16,68.65424347,0.0
17,68.69265747,0.0
18,68.69786072,0.0
19,68.63491058,0.0
20,68.70175934,0.0
21,68.70870972,0.0
22,68.64949799,0.0
23,68.64489746,0.0
24,68.64556122,0.0
25,68.68688202,0.0
26,68.73840332,0.0
27,68.65106201,0.0
28,68.66747284,0.0
29,68.66179657,0.0
30,68.68261719,0.0
31,68.65086365,0.0
32,68.67370605,0.0
33,68.6973114,0.0
34,68.647995,0.0
35,68.69583893,0.0
36,68.65086365,0.0
37,68.66707611,0.0
38,68.6548996,0.0
39,68.671875,0.0
40,68.65660095,0.0
41,68.64466095,0.0
42,68.68228912,0.0
43,68.67090607,0.0
44,68.67338562,0.0
45,68.66975403,0.0
46,68.70056915,0.0
47,68.66464996,0.0
48,68.66326904,0.0
49,68.71619415,0.0
50,68.67108917,0.0
51,68.7035141,0.0
52,68.67236328,0.0
53,68.69963837,0.0
54,68.74330139,0.0
55,68.67191315,0.0
56,68.67823029,0.0
57,68.66776276,0.0
58,68.66688538,0.0
59,68.69577026,0.0
60,68.66918945,0.0
61,68.6448822,0.0
62,68.63835144,0.0
63,68.6678009,0.0
64,68.72815704,0.0
65,68.66635132,0.0
66,68.66904449,0.0
67,68.69155121,0.0
68,68.67312622,0.0
69,68.74539948,0.0
70,68.66851044,0.0
71,68.76480103,0.0
72,68.67097473,0.0
73,68.67481232,0.0
74,68.66937256,0.0
75,68.74990082,0.0
76,68.67185211,0.0
77,68.65574646,0.0
78,68.75145721,0.0
79,68.66598511,0.0
80,68.68487549,0.0
81,68.67023468,0.0
82,68.6550293,0.0
83,68.72370148,0.0
84,68.67453766,0.0
85,68.62042236,0.0
86,68.70509338,0.0
87,68.66841125,0.0
88,68.73001862,0.0
89,68.64650726,0.0
90,68.65590668,0.0
91,69.3581622275,1.0
92,68.67144775,0.0
93,68.64571381,0.0
94,68.66941833,0.0
95,68.65153503,0.0
96,68.67419434,0.0
97,68.69799042,0.0
98,68.64467621,0.0
99,68.67210388,0.0
100,68.64813995,0.0
101,68.64853668,0.0
102,68.63322449,0.0
103,68.68310547,0.0
104,68.64453125,0.0
105,68.6598587,0.0
106,68.6403656,0.0
107,68.67255402,0.0
108,68.66681671,0.0
109,68.67824554,0.0
110,68.63198853,0.0
111,68.67740631,0.0
112,68.66417694,0.0
113,68.71479034,0.0
114,68.64546204,0.0
115,68.68797302,0.0
116,68.65488434,0.0
117,68.72396088,0.0
118,68.66342163,0.0
119,68.69460297,0.0
120,68.64924622,0.0
121,69.3518358602,1.0
122,68.66518402,0.0
123,68.71447754,0.0
124,68.61766052,0.0
125,68.69216919,0.0
126,68.65529633,0.0
127,68.69296265,0.0
128,68.63938904,0.0
129,68.61467743,0.0
130,68.70909882,0.0
131,68.65733337,0.0
132,68.73661041,0.0
133,68.6688385,0.0
134,68.66925049,0.0
135,68.66477203,0.0
136,68.68549347,0.0
137,68.71121216,0.0
138,68.65065002,0.0
139,68.71899414,0.0
140,68.72433472,0.0
141,68.68247223,0.0
142,68.66713715,0.0
143,68.75511169,0.0
144,68.62352753,0.0
145,68.67047119,0.0
146,68.65393829,0.0
147,68.73558807,0.0
148,70.7576256582,1.0
149,68.69672394,0.0
150,68.6897049,0.0
151,68.6584549,0.0
152,68.73677826,0.0
153,68.670578,0.0
154,68.6822052,0.0
155,68.66789246,0.0
156,68.67663574,0.0
157,68.64968872,0.0
158,68.73710632,0.0
159,68.68125153,0.0
160,68.67190552,0.0
161,68.66706085,0.0
162,68.66712952,0.0
163,68.70291901,0.0
164,68.68413544,0.0
165,68.68865967,0.0
166,68.72356415,0.0
167,68.67053223,0.0
168,70.7004881283,1.0
169,68.64125061,0.0
170,70.0399896198,1.0
171,69.35332305489999,1.0
172,68.66665649,0.0
173,68.70308685,0.0
174,68.68212128,0.0
175,68.62509918,0.0
176,68.66849518,0.0
177,68.73989105,0.0
178,68.70717621,0.0
179,68.68617249,0.0
180,68.66976929,0.0
181,68.65653992,0.0
182,68.73804474,0.0
183,68.72956848,0.0
184,68.67248535,0.0
185,68.72273254,0.0
186,68.7388916,0.0
187,68.66990662,0.0
188,68.70020294,0.0
189,68.68669128,0.0
190,68.70465088,0.0
191,68.73031616,0.0
192,68.67424011,0.0
193,68.65418243,0.0
194,68.66654968,0.0
195,68.72481537,0.0
196,68.66991425,0.0
197,68.640625,0.0
198,68.63910675,0.0
199,70.09018341180001,1.0
200,70.09018341180001,1.0
201,70.09018341180001,1.0
202,68.71586609,0.0
203,68.65168762,0.0
204,68.66242981,0.0
205,68.64788818,0.0
206,68.69111633,0.0
207,68.66894531,0.0
208,68.63522339,0.0
209,68.70396423,0.0
210,68.6476059,0.0
211,68.64958954,0.0
212,68.66240692,0.0
213,68.74324799,0.0
214,68.66362,0.0
215,68.66970062,0.0
216,68.6401062,0.0
217,68.65236664,0.0
218,68.66993713,0.0
219,68.62921906,0.0
220,68.64162445,0.0
221,68.6427536,0.0
