,steam_flow,spike
0,57.31396484,0
1,58.15404892,0
2,57.59205246,0
3,57.73907089,0
4,57.8423996,0
5,57.35380936,0
6,57.62875748,0
7,57.42427826,0
8,57.46958923,0
9,62.38431283458466,1
10,58.1729126,0
11,57.99099731,0
12,57.40582657,0
13,57.32984161,0
14,58.14625168,0
15,57.00507355,0
16,57.44693756,0
17,58.20951462,0
18,57.26938248,0
19,62.95514799553552,1
20,62.95512851243113,1
21,58.04666138,0
22,57.84830475,0
23,57.83280945,0
24,57.19889069,0
25,57.52089691,0
26,58.41616058,0
27,57.43178177,0
28,62.954767564805664,1
29,62.95465222792873,1
30,57.86367035,0
31,57.6520195,0
32,57.72252274,0
33,57.80532074,0
34,57.37128448,0
35,57.98093033,0
36,57.29695511,0
37,62.9539549217922,1
38,57.96917725,0
39,58.26961136,0
40,58.35709381,0
41,58.06736755,0
42,57.82196426,0
43,62.95351322024286,1
44,57.71129608,0
45,57.63611221,0
46,57.74326706,0
47,57.54600525,0
48,62.95239130092923,1
49,58.15982056,0
50,57.92001343,0
51,57.59723282,0
52,58.15276718,0
53,57.62486649,0
54,57.91926575,0
55,57.53878784,0
56,57.56586456,0
57,57.65887833,0
58,57.77711105,0
59,58.44179916,0
60,58.86488342,0
61,57.91658401,0
62,58.06186295,0
63,58.02006531,0
64,57.80516052,0
65,58.15985107,0
66,58.19137955,0
67,63.97348734894756,1
68,57.6896019,0
69,57.68592072,0
70,58.32390594,0
71,58.30101776,0
72,57.88656235,0
73,57.32043076,0
74,64.39273514066116,1
75,57.80083084,0
76,57.45213318,0
77,58.0423317,0
78,58.18692398,0
79,57.92006302,0
80,57.50946426,0
81,57.07871628,0
82,57.47455978,0
83,58.1635704,0
84,57.66608429,0
85,58.00449371,0
86,57.68601227,0
87,58.2720871,0
88,57.74345779,0
89,76.87755653137776,1
90,57.24444962,0
91,57.67124176,0
92,57.69885635,0
93,57.00669861,0
94,57.66505051,0
95,57.94107819,0
96,57.77664566,0
97,57.9930191,0
98,58.08418274,0
99,58.18310165,0
100,57.01950073,0
101,57.71285629,0
102,58.4208107,0
103,57.31379318,0
104,57.47182846,0
105,58.04571533,0
106,58.04228592,0
107,58.34455872,0
108,58.64083481,0
109,58.05921555,0
110,57.50826645,0
111,58.13074112,0
112,58.11973572,0
113,57.71837997,0
114,57.51044846,0
115,58.05343628,0
116,57.71578598,0
117,58.3485527,0
118,57.96088409,0
119,57.68288422,0
120,58.28164673,0
121,76.85600740177148,1
122,57.85577393,0
123,56.98564529,0
124,58.72688675,0
125,59.03645325,0
126,57.84292984,0
127,58.38319016,0
128,57.8589325,0
129,58.39109421,0
130,58.02350998,0
131,58.21754074,0
132,58.29716873,0
133,76.8428454943392,1
134,57.86314774,0
135,58.54795456,0
136,57.97363663,0
137,58.51325607,0
138,57.32173157,0
139,57.35069656,0
140,57.9987793,0
141,76.83637844449329,1
142,58.20370483,0
143,76.83550972682701,1
144,58.34579086,0
145,76.83488984012182,1
146,58.40932465,0
147,57.59928131,0
148,57.40468216,0
149,57.6759758,0
150,58.02548981,0
151,58.84918976,0
152,76.82836284950089,1
153,58.13380051,0
154,58.03590393,0
155,58.48963165,0
156,58.42180634,0
157,57.99353027,0
158,58.07326126,0
159,57.93149948,0
160,57.44586182,0
161,76.8210199897115,1
162,76.81875251588613,1
163,58.4573288,0
164,58.30673599,0
165,76.81607550278991,1
166,57.92843628,0
167,58.72365189,0
168,58.76765442,0
169,58.08508682,0
170,57.56893539,0
171,58.73345566,0
172,58.27609253,0
173,58.07574463,0
174,58.11688614,0
175,76.80502896981007,1
176,58.51631927,0
177,58.35958862,0
178,57.35161972,0
179,57.92393494,0
180,58.54290771,0
181,57.62918854,0
182,57.59320068,0
183,57.49376678,0
184,57.86167526,0
185,57.67601776,0
186,58.04942703,0
187,76.80015509695157,1
188,57.48788071,0
189,58.07543564,0
190,57.99549484,0
191,56.873909,0
192,57.76754379,0
193,57.46863937,0
194,57.24695587,0
195,57.35009766,0
196,57.99163437,0
197,57.95915222,0
198,57.03255081,0
199,76.77912578210815,1
200,57.96330261,0
201,76.77718357653387,1
202,57.47447205,0
203,57.51542282,0
204,57.1831665,0
205,57.95989609,0
206,57.35689163,0
207,57.63350677,0
208,76.76875030643649,1
209,76.76814868760725,1
210,57.32316971,0
211,57.57146835,0
212,57.70092773,0
213,57.47922134,0
214,56.92271042,0
215,57.84096146,0
216,57.18876648,0
217,57.52823257,0
218,57.25924683,0
219,57.4278717,0
220,57.91051483,0
221,57.27658081,0
222,57.16839218,0
223,57.91417694,0
224,57.49856949,0
225,58.13784409,0
226,76.74759459002962,1
227,58.02647018,0
228,57.69009781,0
229,57.97626877,0
230,57.54676819,0
231,57.42639542,0
232,57.43704605,0
233,58.07753372,0
234,57.3175087,0
235,57.02222443,0
236,57.16982269,0
237,57.47402954,0
238,57.45040131,0
239,57.45672607,0
240,57.28994751,0
241,57.41796494,0
242,57.1100235,0
243,56.76662064,0
244,76.71014735005632,1
245,57.03027725,0
246,57.59057236,0
247,57.4509697,0
248,57.21662521,0
249,57.13056946,0
250,76.69040134910354,1
251,76.68834289308043,1
252,57.35092545,0
253,57.40531158,0
254,57.85749054,0
255,76.68254620903483,1
256,57.18640518,0
257,57.58726501,0
258,57.48085785,0
259,76.67644133997355,1
260,57.3847084,0
261,56.88405609,0
262,76.67092029642325,1
263,57.91654205,0
264,57.47873306,0
265,56.44345856,0
266,56.67090607,0
267,57.00590515,0
268,57.18432999,0
269,57.29404831,0
270,57.7005043,0
271,57.13568878,0
272,57.49825668,0
273,57.16279221,0
274,57.12614441,0
275,57.03933334,0
276,56.74588013,0
277,56.83823013,0
278,76.6259887070613,1
279,57.05698395,0
280,56.74028778,0
281,58.13671875,0
282,76.60774239459795,1
283,57.36519623,0
284,57.42757416,0
285,57.14016342,0
286,76.58960263951792,1
287,56.69410324,0
288,57.37389374,0
289,56.95602798,0
290,56.88733673,0
291,57.33762741,0
292,57.5473938,0
293,57.3586998,0
294,56.46067429,0
295,76.52834789596326,1
296,57.56676102,0
297,76.51562824030438,1
298,76.51193666256177,1
299,57.41959381,0
300,57.43195724,0
301,56.97728729,0
302,56.31379318,0
303,57.60694885,0
304,57.82863998,0
305,58.12303162,0
306,80.33048853849803,1
307,56.61992645,0
308,57.26424789,0
309,57.87405777,0
310,57.3584404,0
311,56.77659607,0
312,57.33479309,0
313,57.91207123,0
314,57.85066605,0
315,80.33765330638273,1
316,80.32681749327907,1
317,57.22253799,0
318,56.9659729,0
319,57.11014557,0
320,57.29735947,0
321,56.68122101,0
322,57.03226852,0
323,57.07033539,0
324,57.42982101,0
325,57.51720047,0
326,56.87247086,0
327,56.01163483,0
328,56.01803207,0
329,56.03037643,0
330,57.41110992,0
331,56.7463913,0
332,56.84545517,0
333,56.98009109,0
334,56.53214645,0
335,56.82069397,0
336,56.56988525,0
337,55.9466095,0
338,56.2698288,0
339,56.81498718,0
340,56.49397659,0
341,56.11597824,0
342,56.32727051,0
343,57.20835876,0
344,56.37186432,0
345,56.27470779,0
346,87.11532902132248,1
347,56.29378128,0
348,56.43971252,0
349,56.066185,0
350,56.51815033,0
351,56.79196548,0
352,56.58457947,0
353,56.50385284,0
354,56.64461517,0
355,57.75872803,0
356,57.43223572,0
357,57.16570282,0
358,87.02953620028991,1
359,57.14959335,0
360,57.76994324,0
361,57.49509048,0
362,57.06538773,0
363,57.78736496,0
364,58.25302124,0
365,58.58067703,0
366,57.88183212,0
367,58.07517624,0
368,57.66133499,0
369,57.62003326,0
370,86.93710891798167,1
371,57.47182465,0
372,95.72389531004151,1
373,58.0886879,0
374,95.72877829152702,1
375,57.86931229,0
376,57.81480408,0
377,57.86228943,0
378,58.45080185,0
379,58.19063568,0
380,57.82702637,0
381,57.83976746,0
382,58.34157944,0
383,58.67260361,0
384,59.01005936,0
385,58.98590469,0
386,57.706604,0
387,58.13700485,0
388,97.42481601222295,1
389,58.11523819,0
390,58.84189606,0
391,58.48927307,0
392,97.4309289195109,1
393,97.43232176573875,1
394,57.81990433,0
395,57.78047562,0
396,58.10273743,0
397,58.4992981,0
398,58.48464203,0
399,58.45493317,0
400,58.36769104,0
401,97.44152289951998,1
402,58.02886581,0
403,58.68404007,0
404,58.23753738,0
405,57.89552689,0
406,57.40579224,0
407,58.45581436,0
408,58.70606232,0
409,57.74986649,0
410,58.12963486,0
411,58.10763931,0
412,58.0883522,0
413,57.66349792,0
414,57.46520996,0
415,58.10894775,0
416,57.97250366,0
417,57.12322235,0
418,57.75331879,0
419,58.13973236,0
420,58.03019333,0
421,57.84825134,0
422,57.60700989,0
423,57.43186188,0
424,97.4441026459946,1
425,57.05220413,0
426,57.58639908,0
427,57.63922119,0
428,57.68254089,0
429,57.85352325,0
430,57.94199753,0
431,57.51554489,0
432,57.90686035,0
433,57.85618591,0
434,57.99549484,0
435,57.66564178,0
436,57.6671524,0
437,58.03668594,0
438,58.44095993,0
439,57.72730255,0
440,57.35894775,0
441,58.03432083,0
442,58.21088791,0
443,57.90018082,0
444,57.61504745,0
445,57.83657074,0
446,57.62221527,0
447,57.93280792,0
448,97.41579216892117,1
449,58.05361938,0
450,57.69900131,0
451,97.41157111573352,1
452,58.09386444,0
453,57.81325912,0
454,57.85042572,0
455,58.19871902,0
456,58.22280884,0
457,58.61535263,0
458,57.84149551,0
459,57.91255951,0
460,97.40133322120572,1
461,58.47324753,0
462,97.39984775941019,1
463,58.92832184,0
464,97.39658714390441,1
465,58.76337051,0
466,58.41731644,0
467,58.16397476,0
468,58.5266037,0
469,58.33328629,0
470,57.84141159,0
471,57.96359634,0
472,57.75264359,0
473,97.3822362556491,1
474,58.1553688,0
475,58.18777847,0
476,57.75355911,0
477,57.71339417,0
478,97.37278184479487,1
479,58.44544601,0
480,57.80435944,0
481,58.05398941,0
482,58.38432693,0
483,97.36299149143224,1
484,58.60825729,0
485,58.20520401,0
486,58.38023758,0
487,58.80373383,0
488,59.14758682,0
489,58.5272789,0
490,57.9581604,0
491,58.23447037,0
492,59.10116577,0
493,97.34971964727524,1
494,58.56858826,0
495,58.74267197,0
496,58.98272705,0
497,59.40312195,0
498,59.03720474,0
499,58.80269241,0
500,97.338683018474,1
501,59.09638977,0
502,59.05405807,0
503,97.3346416801088,1
504,97.33356235034606,1
505,59.19464874,0
506,59.32871246,0
507,58.27013397,0
508,97.32625666872241,1
509,58.86601257,0
510,59.49376678,0
511,59.60648346,0
512,97.3213658254848,1
513,58.80267334,0
514,58.54684067,0
515,58.88319016,0
516,59.54357147,0
517,59.24507141,0
518,58.96549606,0
519,97.31057315536691,1
520,58.39698029,0
521,97.3065775593625,1
522,58.98946381,0
523,58.80713272,0
524,58.92464447,0
525,58.71563339,0
526,97.29792927658531,1
527,58.65992737,0
528,59.05194473,0
529,58.16285324,0
530,97.28794588201504,1
531,58.54665375,0
532,59.00170517,0
533,58.56071472,0
534,58.40383911,0
535,58.51315308,0
536,58.55636978,0
537,58.57746124,0
538,58.59996033,0
539,58.68473816,0
540,58.25701523,0
541,58.50217056,0
542,97.25580155817036,1
543,58.40958405,0
544,97.248856389347,1
545,58.90720367,0
546,59.04568863,0
547,58.57652283,0
548,97.24429145264627,1
549,58.3134346,0
550,57.8170929,0
551,58.72184372,0
552,58.94353867,0
553,58.23821259,0
554,59.11955643,0
555,58.98870087,0
556,58.68416214,0
557,58.43162537,0
558,59.00059128,0
559,55.9308815,0
560,55.90695572,0
561,55.37830353,0
562,56.09830093,0
563,56.28531265,0
564,56.47325516,0
565,55.81933212,0
566,56.15540314,0
567,97.16467693256782,1
568,55.1580925,0
569,55.62947083,0
570,56.17650986,0
571,97.1304725172329,1
572,55.87218857,0
573,55.88241196,0
574,55.67801285,0
575,55.83465958,0
576,53.30212784,0
577,54.31545258,0
578,90.99842962385281,1
579,54.4914093,0
580,56.52943039,0
581,55.0535202,0
582,56.10534286,0
583,56.13452148,0
584,84.69634655221756,1
585,58.92228317,0
586,59.28205109,0
587,78.96257674726576,1
588,59.89789963,0
589,58.47732544,0
590,58.32012939,0
591,59.3718605,0
592,58.64391327,0
593,58.36615372,0
594,57.98181534,0
595,57.49474335,0
596,57.94361115,0
597,58.06582642,0
598,57.65745926,0
599,57.18813324,0
600,79.00412560298169,1
601,57.99438477,0
602,58.37011337,0
603,57.69274139,0
604,79.01102453818663,1
605,57.29454803,0
606,57.87401581,0
607,79.0164951783877,1
608,79.01706337071793,1
609,58.86549759,0
610,58.16030121,0
611,58.07141113,0
612,58.1442337,0
613,58.51777649,0
614,57.92322159,0
615,58.78738022,0
616,57.96503067,0
617,57.93536377,0
618,58.95191193,0
619,79.01378699750835,1
620,58.79205704,0
621,58.50602341,0
622,59.03331375,0
623,58.87455368,0
624,78.99293888674828,1
625,58.82235718,0
626,58.26158142,0
627,58.30533218,0
628,58.38505554,0
629,58.36829758,0
630,78.98053072921107,1
631,78.97746759807012,1
632,58.83911514,0
633,58.33824158,0
634,78.96914898445503,1
635,58.70907211,0
636,58.23388672,0
637,58.04820633,0
638,58.26082611,0
639,58.72005844,0
640,58.23014069,0
641,57.77111816,0
642,58.83620453,0
643,58.42541122,0
644,58.24841309,0
645,58.6329422,0
646,58.80662155,0
647,78.9389281082212,1
648,58.70849609,0
649,78.93332724440174,1
650,78.92676201097618,1
651,78.92223993418341,1
652,78.91792025832228,1
653,78.917340517363,1
654,58.48816681,0
655,58.39435196,0
656,58.64546585,0
657,58.90850067,0
658,79.14663564352905,1
659,58.58945847,0
660,58.43494034,0
661,58.52903748,0
662,79.12834539272014,1
663,79.12415601801045,1
664,79.1183694698222,1
665,58.31784821,0
666,58.7180481,0
667,58.83389664,0
668,58.80261993,0
669,58.76861572,0
670,58.97496033,0
671,58.53596115,0
672,58.74216843,0
673,79.08078543355032,1
674,79.07509127262287,1
675,58.50002289,0
676,58.04066467,0
677,57.92318344,0
678,57.88344193,0
679,58.33464432,0
680,57.93460846,0
681,58.0747757,0
682,79.05135817028483,1
683,58.15950012,0
684,58.66576385,0
685,58.20960236,0
686,79.0327665336321,1
687,58.5704689,0
688,58.73469162,0
689,58.37533188,0
690,58.15538025,0
691,58.50185394,0
692,58.64126968,0
693,79.01168302604158,1
694,57.87289429,0
695,79.00529259630568,1
696,57.80031586,0
697,58.28303146,0
698,58.53293991,0
699,58.49523163,0
700,58.1098938,0
701,57.74798203,0
702,57.80710983,0
703,58.13933182,0
704,58.10125351,0
705,78.98743618722281,1
706,58.08341217,0
707,78.97915961457583,1
708,58.2385788,0
