,water_pressure,spike
0,97.29270935,0
1,97.16369629,0
2,97.29753876,0
3,97.30330658,0
4,97.10162354,0
5,97.43642426,0
6,97.07201385,0
7,97.41442108,0
8,97.07732391,0
9,96.77786255,0
10,97.05026245,0
11,97.02986145,0
12,97.1009903,0
13,97.39356232,0
14,96.94224548,0
15,97.39798737,0
16,97.01265717,0
17,98.3340987142857,1
18,96.82411194,0
19,97.05446625,0
20,96.81653595,0
21,97.268013,0
22,96.78283691,0
23,97.36071014,0
24,96.96891022,0
25,97.11716461,0
26,96.92008972,0
27,97.39582062,0
28,96.95738983,0
29,98.35251183613762,1
30,96.78313446,0
31,97.3910675,0
32,96.94516754,0
33,97.46350098,0
34,96.93856812,0
35,98.35231754213159,1
36,97.23467255,0
37,97.24858856,0
38,97.07917786,0
39,97.37994385,0
40,98.35206057942507,1
41,97.27574921,0
42,96.80664063,0
43,97.36030579,0
44,96.90922546,0
45,97.1318512,0
46,97.12071228,0
47,98.35177409555766,1
48,97.07403564,0
49,96.78605652,0
50,97.15139008,0
51,96.92240906,0
52,97.11066437,0
53,98.35154239013433,1
54,97.32867432,0
55,96.77611542,0
56,97.07907104,0
57,98.35139860733483,1
58,96.89096832,0
59,97.02694702,0
60,96.78736115,0
61,97.09346771,0
62,96.93296051,0
63,96.99330902,0
64,96.74250031,0
65,98.66630537522698,1
66,96.73818207,0
67,98.66691429722883,1
68,96.66133118,0
69,97.36087799,0
70,98.66798243531152,1
71,97.03200531,0
72,98.6686120116133,1
73,97.05459595,0
74,97.10665131,0
75,98.669694978894,1
76,97.00183105,0
77,98.67028289601924,1
78,98.67059201366531,1
79,97.08554077,0
80,96.93870544,0
81,97.11263275,0
82,96.83648682,0
83,97.09329987,0
84,97.06252289,0
85,97.07859802,0
86,96.92140198,0
87,97.23721313,0
88,97.04577637,0
89,97.06079102,0
90,96.98573303,0
91,97.43675995,0
92,97.09319305,0
93,97.18894958,0
94,97.56658173,0
95,96.80509949,0
96,98.8454908179839,1
97,97.17077637,0
98,97.11145782,0
99,97.21818542,0
100,97.25979614,0
101,98.84664390070378,1
102,97.18656921,0
103,96.96860504,0
104,97.25649261,0
105,98.84694254047513,1
106,97.15113068,0
107,96.78852081,0
108,98.84678476982599,1
109,96.90516663,0
110,98.84720071953153,1
111,98.84731436463169,1
112,97.01274109,0
113,96.82528687,0
114,96.86192322,0
115,97.41735077,0
116,96.91079712,0
117,97.34951782,0
118,97.07433319,0
119,97.26644897,0
120,96.89718628,0
121,97.33811951,0
122,97.08309937,0
123,97.05332184,0
124,98.84979456283833,1
125,96.71684265,0
126,98.84989535549968,1
127,98.85003496486334,1
128,96.94017029,0
129,98.85015599716992,1
130,96.89192963,0
131,97.11276245,0
132,96.78108215,0
133,97.41297913,0
134,98.85103087162187,1
135,97.07792664,0
136,97.14435577,0
137,96.97827911,0
138,96.90322113,0
139,97.28612518,0
140,96.84838867,0
141,97.52781677,0
142,97.1312561,0
143,97.3586731,0
144,97.21366882,0
145,97.24537659,0
146,98.85377986447529,1
147,97.13780975,0
148,96.88394928,0
149,96.97859192,0
150,96.84529114,0
151,97.1081543,0
152,98.85447696496541,1
153,97.33562469,0
154,96.98023224,0
155,97.18430328,0
156,96.91953278,0
157,98.85523099620849,1
158,97.05197144,0
159,96.98441315,0
160,98.85567994160446,1
161,97.44548798,0
162,96.89374542,0
163,97.08905792,0
164,97.46788025,0
165,97.08480072,0
166,97.16334534,0
167,96.89533997,0
168,97.1402359,0
169,96.86612701,0
170,98.8573541363238,1
171,97.08037567,0
172,96.96743011,0
173,97.361763,0
174,97.44974518,0
175,97.20696259,0
176,97.03233337,0
177,97.21156311,0
178,97.08233643,0
179,97.30918884,0
180,96.76576233,0
181,97.34290314,0
182,96.9079361,0
183,98.8597206096313,1
184,96.95159149,0
185,96.75632477,0
186,97.37219238,0
187,98.86014886861783,1
188,98.86005384089047,1
189,97.38306427,0
190,96.7903595,0
191,96.95183563,0
192,98.86021816533646,1
193,97.30085754,0
194,97.08118439,0
195,96.9405365,0
196,98.86058266836024,1
197,97.17437744,0
198,97.17630005,0
199,96.95928192,0
200,97.14129639,0
201,96.97261047,0
202,97.43070221,0
203,98.8616787956923,1
204,97.59599304,0
205,97.04024506,0
206,97.57917023,0
207,97.08193207,0
208,97.02668762,0
209,97.55795288,0
210,97.1377182,0
211,98.86324376559713,1
212,97.31983185,0
213,97.41768646,0
214,98.86415218358869,1
215,98.86423067914428,1
216,98.86468859928934,1
217,97.45498657,0
218,97.02801514,0
219,97.37319946,0
220,97.13595581,0
221,98.86576257871035,1
222,97.33180237,0
223,97.26950836,0
224,98.86632541744339,1
225,97.59819031,0
226,96.98254395,0
227,98.86627037009052,1
228,97.06188965,0
229,97.35087585,0
230,97.30651093,0
231,97.4934082,0
232,97.09041595,0
233,97.31225586,0
234,97.24750519,0
235,97.47301483,0
236,98.86840864531935,1
237,97.43383026,0
238,97.24409485,0
239,98.86944123847621,1
240,97.22596741,0
241,97.61627197,0
242,97.4229126,0
243,97.31173706,0
244,96.85317993,0
245,97.15323639,0
246,97.12095642,0
247,97.35491943,0
248,97.03422546,0
249,98.87165045357389,1
250,96.904953,0
251,98.87187511308342,1
252,97.25936127,0
253,97.52931213,0
254,97.01818085,0
255,97.12634277,0
256,97.15476227,0
257,97.21756744,0
258,97.05805969,0
259,97.12944794,0
260,97.09546661,0
261,96.98884583,0
262,97.12323761,0
263,97.366745,0
264,97.53179932,0
265,97.0736618,0
266,97.51522064,0
267,96.92355347,0
268,97.28139496,0
269,97.11244965,0
270,98.87541108834255,1
271,97.13973236,0
272,97.37438965,0
273,97.16972351,0
274,97.52906036,0
275,97.08106995,0
276,97.45227051,0
277,96.9085083,0
278,97.3523407,0
279,97.15287781,0
280,97.27983856,0
281,98.87727864153328,1
282,97.15407562,0
283,97.52405548,0
284,97.13462067,0
285,97.39492798,0
286,98.87817154251343,1
287,97.11113739,0
288,97.51272583,0
289,98.8783234783127,1
290,97.44378662,0
291,97.00296021,0
292,97.5161438,0
293,97.31689453,0
294,97.53439331,0
295,97.4603653,0
296,97.43569946,0
297,97.18320465,0
298,97.1999054,0
299,97.1894989,0
300,97.07801819,0
301,97.41558075,0
302,97.0459671,0
303,97.43147278,0
304,97.05812836,0
305,97.24742126,0
306,97.05029297,0
307,97.34851074,0
308,97.05504608,0
309,97.1817627,0
310,98.88356197397457,1
311,97.24862671,0
312,98.88437696527919,1
313,97.41042328,0
314,97.12194061,0
315,98.8852351552896,1
316,97.11125946,0
317,98.88576257990206,1
318,97.24098206,0
319,97.57150269,0
320,97.25712585,0
321,97.41655731,0
322,97.47441864,0
323,98.88779098246228,1
324,97.82359314,0
325,97.19764709,0
326,98.88863641295413,1
327,97.37032318,0
328,97.51548767,0
329,97.39077759,0
330,97.80278778,0
331,97.1709671,0
332,97.59236145,0
333,98.89088021951206,1
334,97.4724884,0
335,97.21110535,0
336,97.60268402,0
337,97.54270935,0
338,97.55284119,0
339,97.14286041,0
340,97.45947266,0
341,97.33243561,0
342,97.57672119,0
343,97.39756775,0
344,97.59802246,0
345,98.89272787146466,1
346,97.6758194,0
347,97.42476654,0
348,97.81649017,0
349,97.46496582,0
350,97.54342651,0
351,97.3571701,0
352,97.47454071,0
353,98.89327834316946,1
354,97.79563141,0
355,97.85914612,0
356,97.53202057,0
357,97.34764099,0
358,98.61934063319684,1
359,97.14152527,0
360,97.19182587,0
361,97.17518616,0
362,97.21186829,0
363,96.93724823,0
364,97.01573181,0
365,96.79441071,0
366,96.71190643,0
367,97.07730103,0
368,98.4947151430282,1
369,96.81604004,0
370,96.92727661,0
371,97.18686676,0
372,96.79854584,0
373,97.1158905,0
374,96.96253967,0
375,98.60457455559356,1
376,97.07460785,0
377,98.60570435331731,1
378,98.60633178512724,1
379,98.60668637845801,1
380,96.87944031,0
381,96.73755646,0
382,96.85800171,0
383,96.74447632,0
384,96.826828,0
385,97.11779785,0
386,98.67475332456345,1
387,97.12045288,0
388,97.04404449,0
389,96.81546021,0
390,97.21424103,0
391,96.84796143,0
392,97.06092072,0
393,96.89875793,0
394,96.80673981,0
395,96.78572083,0
396,97.03464508,0
397,97.10746002,0
398,98.67811396626927,1
399,97.13582611,0
400,96.93880463,0
401,97.20170593,0
402,96.94519806,0
403,97.15937042,0
404,96.96326447,0
405,97.43251038,0
406,98.68103795734115,1
407,96.96380615,0
408,97.31479645,0
409,97.0827179,0
410,97.18466949,0
411,96.77182007,0
412,97.04271698,0
413,96.81293488,0
414,97.35581207,0
415,98.68374690149003,1
416,97.1003952,0
417,97.25245667,0
418,97.2550354,0
419,97.30997467,0
420,97.08058929,0
421,98.68511347202954,1
422,97.25868988,0
423,96.84864044,0
424,97.07791901,0
425,97.06507111,0
426,97.07866669,0
427,97.00891876,0
428,98.68624294636045,1
429,97.11952209,0
430,97.06867981,0
431,97.13923645,0
432,96.9781189,0
433,98.68725249621248,1
434,97.0192337,0
435,96.88659668,0
436,97.25092316,0
437,97.11650848,0
438,97.42979431,0
439,96.98836517,0
440,97.22147369,0
441,97.08184052,0
442,97.18548584,0
443,98.68943657145425,1
444,97.39620972,0
445,98.68961171063734,1
446,97.15692902,0
447,97.07151794,0
448,97.24978638,0
449,98.68972918693447,1
450,97.06193542,0
451,97.20481873,0
452,98.69007777160198,1
453,97.31427765,0
454,97.0487442,0
455,97.31175995,0
456,96.86968231,0
457,97.19197845,0
458,98.69057187065654,1
459,97.11011505,0
460,96.79862976,0
461,98.69075481395039,1
462,96.93471527,0
463,97.24905396,0
464,96.9150238,0
465,98.69099554788933,1
466,97.06213379,0
467,97.19450378,0
468,96.90743256,0
469,97.27999878,0
470,97.20292664,0
471,97.24347687,0
472,97.03384399,0
473,97.38726807,0
474,96.95881653,0
475,97.07044983,0
476,97.00126648,0
477,98.69190964357226,1
478,96.80758667,0
479,98.69193869293888,1
480,98.69203461056235,1
481,97.25598145,0
482,98.69208040404827,1
483,98.69210342341124,1
484,96.90501404,0
485,97.04267883,0
486,96.7011795,0
487,96.64447021,0
488,96.47824097,0
489,96.61919403,0
490,97.16152191,0
491,98.69163248651246,1
492,96.56397247,0
493,96.61196899,0
494,96.57896423,0
495,96.69049072,0
496,98.69093313992474,1
497,96.58456421,0
498,97.11837006,0
499,98.69080403629344,1
500,96.89549255,0
501,96.6267395,0
502,96.77316284,0
503,96.70895386,0
504,97.1291275,0
505,96.73099518,0
506,98.69025724381315,1
507,98.69038052013104,1
508,96.86797333,0
509,96.58452606,0
510,96.76517487,0
511,96.73696136,0
512,96.58638,0
513,96.99128723,0
514,96.690979,0
515,97.07445526,0
516,96.80477905,0
517,96.55599213,0
518,96.50148773,0
519,96.71659088,0
520,96.45243835,0
521,97.01187897,0
522,96.62073517,0
523,98.68788062926889,1
524,96.73737335,0
525,97.15313721,0
526,96.80287933,0
527,96.85768127,0
528,96.51019287,0
529,98.68723799265646,1
530,96.95717621,0
531,97.0712738,0
532,96.79151917,0
533,97.01085663,0
534,96.80531311,0
535,97.19927979,0
536,96.67158508,0
537,97.01347351,0
538,98.68674011927659,1
539,98.68663586449644,1
540,96.70321655,0
541,97.02355194,0
542,96.72648621,0
543,96.94257355,0
544,96.73723602,0
545,96.66620636,0
546,98.68595485308737,1
547,96.75431061,0
548,96.54481506,0
549,97.08715057,0
550,96.75539398,0
551,97.15953064,0
552,96.73080444,0
553,98.68486032859931,1
554,96.92346954,0
555,96.6357193,0
556,97.00298309,0
557,96.56095886,0
558,96.75156403,0
559,97.04098511,0
560,97.04936981,0
561,96.46630096,0
562,96.55622864,0
563,96.03890228,0
564,96.0369339,0
565,96.17428589,0
566,96.68461609,0
567,96.4835434,0
568,98.68051495308086,1
569,96.41983795,0
570,96.12494659,0
571,96.59836578,0
572,96.29251862,0
573,96.68043518,0
574,96.26369476,0
575,98.67749247096225,1
576,96.28004456,0
577,98.67669508631899,1
578,96.24467468,0
579,96.483284,0
580,96.3961792,0
581,96.12483978,0
582,96.02364349,0
583,95.95812988,0
584,96.17176056,0
585,95.82526398,0
586,96.54543304,0
587,98.67090314341202,1
588,98.67047097256881,1
589,96.55764771,0
590,96.80006409,0
591,96.42797852,0
592,96.70756531,0
593,96.45439148,0
594,96.49342346,0
595,96.94002533,0
596,96.88058472,0
597,97.08898926,0
598,96.73371124,0
599,97.16960144,0
600,96.68815613,0
601,97.03001404,0
602,96.93148804,0
603,97.03437042,0
604,97.09144592,0
605,96.88447571,0
606,97.35533142,0
607,96.7612381,0
608,96.81346893,0
609,97.00439453,0
610,99.84198176243854,1
611,96.74530792,0
612,96.99446869,0
613,96.90718079,0
614,96.86049652,0
615,96.92803192,0
616,96.56893921,0
617,99.84334402499537,1
618,97.05796814,0
619,96.97570038,0
620,96.75852966,0
621,97.07164764,0
622,96.73886871,0
623,96.96517944,0
624,96.62722015,0
625,96.75835419,0
626,97.04957581,0
627,96.71961212,0
628,96.8150177,0
629,96.82209778,0
630,99.84546004500875,1
631,99.84560541880083,1
632,96.93284607,0
633,96.6632309,0
634,97.18267059,0
635,97.00657654,0
636,96.7516098,0
637,96.98150635,0
638,96.62348938,0
639,96.78068542,0
640,96.53619385,0
641,96.99488831,0
642,96.75964355,0
643,96.74261475,0
644,97.1772995,0
645,99.84702822405852,1
646,96.8395462,0
647,96.73569489,0
648,96.97432709,0
649,96.63955688,0
650,97.12037659,0
651,96.72817993,0
652,96.94429016,0
653,96.78127289,0
654,99.84728859992019,1
655,96.93778992,0
656,96.76859283,0
657,96.86408997,0
658,96.66142273,0
659,96.98566437,0
660,96.80249786,0
661,96.87762451,0
662,96.95467377,0
663,96.72732544,0
664,96.96488953,0
665,96.86160278,0
666,96.88904572,0
667,99.84670923062681,1
668,96.9087677,0
669,96.76766205,0
