,steam_temperature,drift
0,431.3750916,0
1,430.8352356,0
2,430.0348511,0
3,429.3709106,0
4,429.2259521,0
5,429.7301025,0
6,430.7183533,0
7,431.0759888,0
8,431.2669373,0
9,431.141449,0
10,430.8068542,0
11,430.5696716,0
12,430.6440735,0
13,430.8599243,0
14,431.2467041,0
15,431.4907227,0
16,433.38373810049995,1
17,434.8138460849999,1
18,436.38566422499986,1
19,438.4899628079998,1
20,440.8385238174998,1
21,430.588623,0
22,430.8175049,0
23,430.6516418,0
24,430.6896667,0
25,430.7834778,0
26,431.0330811,0
27,431.0072632,0
28,430.90448,0
29,430.6466064,0
30,430.4416809,0
31,430.0300903,0
32,429.7986755,0
33,429.9414978,0
34,430.1490479,0
35,430.6429443,0
36,430.8511047,0
37,430.7861023,0
38,430.302948,0
39,430.3635559,0
40,430.1819153,0
41,429.8280334,0
42,429.9117737,0
43,430.6896362,0
44,431.632019,0
45,431.6651917,0
46,432.0779114,0
47,432.0560608,0
48,431.5231323,0
49,430.5973206,0
50,430.1734619,0
51,430.3667603,0
52,430.7194824,0
53,431.0276794,0
54,431.1009216,0
55,431.6691895,0
56,431.8447571,0
57,432.194458,0
58,431.9619751,0
59,431.3779907,0
60,430.815155,0
61,430.865509,0
62,431.3426514,0
63,431.6861572,0
64,431.8716431,0
65,432.1589661,0
66,432.0189514,0
67,431.4273376,0
68,431.2920227,0
69,430.6692505,0
70,430.4501953,0
71,430.42453,0
72,430.8208618,0
73,431.5635071,0
74,431.7722778,0
75,432.0116272,0
76,431.7119446,0
77,431.103302,0
78,430.6473694,0
79,430.4325867,0
80,431.0070801,0
81,431.7657776,0
82,431.3336487,0
83,430.9984131,0
84,430.8243408,0
85,433.3535586539999,1
86,435.7063497549999,1
87,437.61563310499986,1
88,439.9897997759998,1
89,442.3734275949998,1
90,432.0133057,0
91,432.0449524,0
92,431.9781494,0
93,432.0949097,0
94,431.8869934,0
95,431.4565125,0
96,431.3236389,0
97,431.125061,0
98,430.9502563,0
99,430.5869141,0
100,430.6079712,0
101,431.1591492,0
102,431.7381897,0
103,432.269928,0
104,432.4985046,0
105,432.1671143,0
106,431.4549255,0
107,431.1628723,0
108,431.2039185,0
109,431.4822083,0
110,431.4283447,0
111,431.2672424,0
112,431.5020447,0
113,431.9364319,0
114,432.2366028,0
115,432.539856,0
116,432.914032,0
117,432.3894348,0
118,432.0787048,0
119,431.5221558,0
120,431.3269043,0
121,431.5455933,0
122,431.5458984,0
123,431.859375,0
124,431.9639282,0
125,431.727356,0
126,431.3494873,0
127,431.3100891,0
128,431.4375,0
129,431.7898865,0
130,432.2099915,0
